product	quantity	price	total	charge
1	50	55999.99	2799999.50	28000.00
4	100	15300.00	1530000.00	7650.00
2	30	36599.99	1097999.70	18300.00
3	90	69999.99	6299999.10	35000.00
3	200	59600.30	11920060.00	29800.15
2	60	36299.99	2177999.40	18150.00
1	50	67999.00	3399950.00	33999.50
4	40	20530.00	821200.00	10265.00
7	30	5400.00	162000.00	2700.00
7	30	5000.00	150000.00	2500.00
6	30	6500.00	195000.00	3250.00
2	150	32459.99	4868998.50	16230.00
6	100	6000.00	600000.00	3000.00
4	10	16000.00	160000.00	8000.00
