AND	DECIMAL		BINARIO
IP	172.16.0.14	10101100.00010000.00000000.00001110
SM	255.255.255.0	11111111.11111111.11111111.00000000
NW	172.16.0.0	10101100.00010000.00000000.00000000
BC	172.16.0.255	10101100.00010000.00000000.11111111

CIDR	HOST	SUBNET
/32	0	2^32 = 4.294.967.296
/31	0	2^31 =
/30	2	2^30 =
/29	6	2^29 =
/28	14	2^28 =
/27	30	2^27 =
/26	62	2^26 =
/25	126	2^25 =

2^24 = 256^3 = 16.777.216 | A 1 subred 	10.
2^16 = 256^2 = 65.536	  | B 16 subred	172.(16-31)
2^8 = 256		  | C 256 subred  192.168.(0-255)
